country,year,posterior_prob
Luxembourg,2013,0.22
Luxembourg,2014,0.368
Luxembourg,2015,0.082
Luxembourg,2016,0.044
Luxembourg,2017,0.022
Luxembourg,2018,0.034
Luxembourg,2019,0.178
Luxembourg,2020,0.024
Luxembourg,2021,NA
Ireland,1970,0.06
Ireland,1971,0.27
Ireland,1972,0.596
Ireland,1973,0.026
Ireland,1974,0.102
Ireland,1975,0.05
Ireland,1976,0.754
Ireland,1977,0.312
Ireland,1978,0.042
Ireland,1979,0.008
Ireland,1980,0.018
Ireland,1981,0.042
Ireland,1982,0.028
Ireland,1983,0.012
Ireland,1984,0.022
Ireland,1985,0.014
Ireland,1986,0.018
Ireland,1987,0.054
Ireland,1988,0.216
Ireland,1989,0.222
Ireland,1990,0.308
Ireland,1991,0.38
Ireland,1992,0.068
Ireland,1993,0.072
Ireland,1994,0.152
Ireland,1995,0.758
Ireland,1996,0.114
Ireland,1997,0.656
Ireland,1998,0.38
Ireland,1999,0.44
Ireland,2000,0.186
Ireland,2001,0.076
Ireland,2002,0.138
Ireland,2003,0.346
Ireland,2004,0.392
Ireland,2005,0.14
Ireland,2006,0.01
Ireland,2007,0.024
Ireland,2008,0.486
Ireland,2009,0.402
Ireland,2010,0.062
Ireland,2011,0.016
Ireland,2012,0.022
Ireland,2013,0.024
Ireland,2014,0.018
Ireland,2015,0.02
Ireland,2016,0.018
Ireland,2017,0.016
Ireland,2018,0.026
Ireland,2019,0.152
Ireland,2020,0.018
Ireland,2021,NA
Malta,1970,0.028
Malta,1971,0.026
Malta,1972,0.048
Malta,1973,0.094
Malta,1974,0.23
Malta,1975,0.05
Malta,1976,0.05
Malta,1977,0.04
Malta,1978,0.036
Malta,1979,0.964
Malta,1980,0.076
Malta,1981,0.08
Malta,1982,0.028
Malta,1983,0.036
Malta,1984,1
Malta,1985,1
Malta,1986,0.032
Malta,1987,0.036
Malta,1988,0.044
Malta,1989,0.068
Malta,1990,0.254
Malta,1991,0.28
Malta,1992,0.612
Malta,1993,0.096
Malta,1994,0.12
Malta,1995,0.05
Malta,1996,0.174
Malta,1997,0.058
Malta,1998,0.058
Malta,1999,0.972
Malta,2000,0.06
Malta,2001,0.882
Malta,2002,0.374
Malta,2003,0.786
Malta,2004,0.234
Malta,2005,0.098
Malta,2006,0.088
Malta,2007,0.088
Malta,2008,0.046
Malta,2009,0.054
Malta,2010,0.038
Malta,2011,0.05
Malta,2012,0.066
Malta,2013,0.098
Malta,2014,0.116
Malta,2015,0.144
Malta,2016,0.332
Malta,2017,0.506
Malta,2018,0.124
Malta,2019,0.014
Malta,2020,0.022
Malta,2021,NA
