country,year,posterior_prob
Luxembourg,1995,0.024
Luxembourg,1996,0.06
Luxembourg,1997,0.112
Luxembourg,1998,0.628
Luxembourg,1999,0.332
Luxembourg,2000,0.076
Luxembourg,2001,0.114
Luxembourg,2002,0.58
Luxembourg,2003,0.306
Luxembourg,2004,0.042
Luxembourg,2005,0.022
Luxembourg,2006,0.016
Luxembourg,2007,0.024
Luxembourg,2008,0.032
Luxembourg,2009,0.014
Luxembourg,2010,0.028
Luxembourg,2011,0.046
Luxembourg,2012,0.148
Luxembourg,2013,0.204
Luxembourg,2014,0.276
Luxembourg,2015,0.118
Luxembourg,2016,0.032
Luxembourg,2017,0.02
Luxembourg,2018,0.03
Luxembourg,2019,0.146
Luxembourg,2020,0.018
Luxembourg,2021,NA
Ireland,1971,0.084
Ireland,1972,0.312
Ireland,1973,0.094
Ireland,1974,0.11
Ireland,1975,0.076
Ireland,1976,0.724
Ireland,1977,0.348
Ireland,1978,0.024
Ireland,1979,0.012
Ireland,1980,0.026
Ireland,1981,0.022
Ireland,1982,0.018
Ireland,1983,0.014
Ireland,1984,0.016
Ireland,1985,0.02
Ireland,1986,0.022
Ireland,1987,0.03
Ireland,1988,0.178
Ireland,1989,0.17
Ireland,1990,0.488
Ireland,1991,0.258
Ireland,1992,0.052
Ireland,1993,0.074
Ireland,1994,0.128
Ireland,1995,0.73
Ireland,1996,0.17
Ireland,1997,0.584
Ireland,1998,0.378
Ireland,1999,0.52
Ireland,2000,0.112
Ireland,2001,0.096
Ireland,2002,0.086
Ireland,2003,0.276
Ireland,2004,0.464
Ireland,2005,0.1
Ireland,2006,0.02
Ireland,2007,0.032
Ireland,2008,0.498
Ireland,2009,0.348
Ireland,2010,0.072
Ireland,2011,0.022
Ireland,2012,0.018
Ireland,2013,0.024
Ireland,2014,0.026
Ireland,2015,0.02
Ireland,2016,0.01
Ireland,2017,0.02
Ireland,2018,0.024
Ireland,2019,0.156
Ireland,2020,0.038
Ireland,2021,NA
Malta,1971,0.048
Malta,1972,0.03
Malta,1973,0.136
Malta,1974,0.226
Malta,1975,0.05
Malta,1976,0.02
Malta,1977,0.024
Malta,1978,0.032
Malta,1979,0.96
Malta,1980,0.084
Malta,1981,0.082
Malta,1982,0.034
Malta,1983,0.036
Malta,1984,1
Malta,1985,1
Malta,1986,0.028
Malta,1987,0.03
Malta,1988,0.032
Malta,1989,0.046
Malta,1990,0.226
Malta,1991,0.32
Malta,1992,0.568
Malta,1993,0.124
Malta,1994,0.1
Malta,1995,0.036
Malta,1996,0.15
Malta,1997,0.054
Malta,1998,0.074
Malta,1999,0.958
Malta,2000,0.09
Malta,2001,0.856
Malta,2002,0.318
Malta,2003,0.834
Malta,2004,0.156
Malta,2005,0.126
Malta,2006,0.07
Malta,2007,0.084
Malta,2008,0.028
Malta,2009,0.05
Malta,2010,0.034
Malta,2011,0.038
Malta,2012,0.066
Malta,2013,0.076
Malta,2014,0.164
Malta,2015,0.144
Malta,2016,0.284
Malta,2017,0.508
Malta,2018,0.136
Malta,2019,0.04
Malta,2020,0.034
Malta,2021,NA
